jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Karang (Reef-Associated),Ayam ayam,3961,3376,4012,1426,3359,1669,2733,3599,3816,7307,5921,5774,46953
Pelagis Besar,Bawal laut,814,711,1117,592,440,776,749,1372,1221,2291,2255,2238,14576
Pelagis Besar,Cakalang,155878,177314,159767,113287,145569,124686,112376,130443,132745,105071,107169,105930,1570235
Pelagis Besar,Cendro,4419,3075,3308,1999,3440,2030,1216,3318,3661,6846,3577,3527,40416
Pelagis Kecil,Ekor kuning,12999,10744,5881,3196,3156,2598,2013,2737,4211,3353,2819,2784,56491
Demersal,Gabus Laut,459,1989,592,671,3836,2172,1399,1261,1704,1826,1367,1336,18612
Demersal,Gerot Gerot,2871,3269,2577,6630,5734,7657,6547,6651,6784,6974,6776,6747,69217
Demersal,Golok golok,2278,2470,1377,961,2248,1774,1219,2418,2520,2194,2143,2069,23671
Demersal,Gulamah/Tigawaja/Samgeh,1837,3153,3801,2649,4177,5555,4134,4518,4096,4978,4950,4888,48736
Karang (Reef-Associated),Kakap,1369,2448,1880,1156,1285,1043,803,1363,1379,1275,1246,1143,16390
Karang (Reef-Associated),Kakap Batu,1776,3465,2442,2066,2801,1243,1576,2510,2041,1223,1195,1199,23537
Karang (Reef-Associated),Kakap Jenaha,2205,1324,1791,1690,2176,1883,1611,1663,1802,1395,1371,1365,20276
Karang (Reef-Associated),Kakap Merah,2167,2808,2408,2559,4307,2940,1920,2354,1830,1580,1549,1523,27945
Pelagis Kecil,Kapas kapas/Bagas,52009,45720,43278,18674,13444,7830,8360,10066,7918,14671,14348,14273,250591
Pelagis Kecil,Kembung Lelaki,2473,3895,2635,1541,6009,7359,8485,10742,9128,6919,6839,6788,72813
Pelagis Kecil,Kembung Perempuan,2581,2375,1720,1950,5428,4508,5119,8805,9112,9526,9204,9084,69412
Karang (Reef-Associated),Kerapu,852,1483,1008,785,1504,1085,1399,1340,1141,2083,1871,1857,16408
Demersal,Kuniran/biji nangka,3701,3717,3830,4829,7789,6014,3338,4758,5164,7722,7569,7524,65955
Demersal,Kurisi,29814,24141,9755,2266,6909,6572,2799,5283,5903,4586,4795,4763,107586
Pelagis Kecil,Kuro/Senangin/laosan,6204,6012,6284,6626,7664,8185,5114,6799,6988,5751,5592,5538,76757
Karang (Reef-Associated),Kuwe,2709,1776,1763,840,2581,1886,1961,3599,1030,3709,2727,2654,27235
Karang (Reef-Associated),Kuwe gerong,301,1110,1664,856,1412,1168,769,1193,926,1086,1074,1044,12603
Pelagis Kecil,Layang,14003,10439,17152,14007,31756,32327,28188,28474,25599,29735,27826,23593,283099
Pelagis Besar,Layaran,1060,1060,718,960,1287,1139,880,1440,1507,3018,2837,2763,18669
Pelagis Kecil,Layur,37055,54001,92903,91650,67529,41367,53875,61886,64291,96679,96144,95550,852930
Pelagis Besar,Lemadang,46694,34900,21502,25260,20622,11700,12318,14440,15217,24751,25415,25045,277864
Pelagis Kecil,Lencam,672,761,919,700,1393,1079,848,1599,885,1482,1280,1270,12888
Demersal,Manyung,479,6408,2144,2121,1953,1751,738,1936,2100,2240,1404,1391,24665
Demersal,Marlin,544,544,1946,1072,1460,1232,2240,2806,2940,4977,4648,4488,28897
Pelagis Besar,Nyunglas,451,1560,1220,797,400,487,554,920,1926,4784,4069,3989,21157
Pelagis Kecil,Pari,985,1595,1204,986,700,929,577,734,1108,1313,1014,1000,12145
Demersal,Pedang,306,180,697,560,440,640,920,1024,1144,1357,1282,1251,9801
Pelagis Besar,Peperek,1856,3455,4784,3360,4501,5460,3888,5028,6000,7168,5376,5310,56186
Pelagis Kecil,Pinjalo,688,1144,479,546,1022,819,336,1176,1045,1136,479,473,9343
Karang (Reef-Associated),Pisang-pisang,16079,14873,37032,22120,35741,33963,30720,6174,17570,3600,3524,3508,224904
Pelagis Kecil,Sebelah,1840,864,5233,840,1190,1849,1103,2120,1513,912,900,895,19259
Demersal,Selar Bentong,39334,17164,7588,4735,10566,6366,5752,10904,11304,12458,12168,12053,150392
Pelagis Kecil,Selar Kuning,3287,3414,4752,2768,2357,2860,2347,3120,3705,4091,4007,3883,40591
Pelagis Kecil,Swanggi,4206,14794,3707,3311,2207,1722,2030,4355,1135,1459,1414,1377,41717
Pelagis Besar,Tenggiri,480,735,568,452,580,491,671,860,941,2841,2969,2933,14521
Pelagis Besar,Tenggiri Papan,320,422,620,492,624,596,640,729,842,2090,2111,1945,11431
Pelagis Besar,Tetengkek,1250,775,1651,822,578,1564,1134,2352,2274,1309,1309,1286,16304
Pelagis Kecil,Tongkol,32594,30242,19075,6473,10941,8730,7918,15232,30901,20673,19815,19511,222105
Pelagis Besar,Tongkol Abu-Abu,3764,604,1186,468,1913,1003,729,2037,6436,6237,6245,6207,36829
Pelagis Besar,Tongkol Banyar,13956,19973,13372,4137,5834,4828,4289,9698,17255,12623,12429,12364,130758
Pelagis Besar,Tongkol Komo,78260,41040,17330,12168,24563,10867,8996,19574,43893,21911,21684,21309,321595
Pelagis Besar,Tongkol Lisong,82715,59180,27176,16989,18758,9936,9344,17479,54186,35547,29346,29193,389849
Pelagis Besar,Tuna Mata Besar,1026,760,855,599,666,534,516,625,710,673,658,603,8225
Pelagis Besar,Tuna Sirip Kuning,48284,65253,59107,37998,50505,63678,53101,68072,50276,48106,53455,49037,646872
jumlah,,725865,692515,607810,433640,535354,448550,410292,501586,581823,555536,540165,526275,6559411
