jenis_ikan,nama_ikan,tahun,bulan,total_kg_x,tanggal,no,lokasi,total_kg_y,jenis_alat_tangkap
Pelagis Besar,Alu Alu/baracuda,2019,1,6125,2019-01-01,,Unknown,0.0,Unknown
Pelagis Besar,layaran,2019,1,805,2019-01-01,,Unknown,0.0,Unknown
Pelagis Kecil,Layur,2019,1,26635,2019-01-01,,Unknown,0.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Binuangeun,138782.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Tanjungpanto,1275.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Sukahujan,2853.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Cipunaga,4694.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Panyaungan,3824.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Situregen,4290.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Bayah,28098.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Pulomanuk,7366.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Sawarna,4694.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Citarate,2542.0,Unknown
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01,26,Cibareno,3813.0,Unknown
Demersal,Manyung,2019,1,924,2019-01-01,28,Binuangeun,8010.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Tanjungpanto,129.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Sukahujan,286.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Cipunaga,477.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Panyaungan,386.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Situregen,439.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Bayah,7438.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Pulomanuk,763.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Sawarna,477.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Citarate,267.0,Rawai Dasar (Bottom Longline)
Demersal,Manyung,2019,1,924,2019-01-01,28,Cibareno,400.0,Rawai Dasar (Bottom Longline)
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Binuangeun,15870.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Tanjungpanto,98.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Sukahujan,219.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Cipunaga,364.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Panyaungan,295.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Situregen,335.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Bayah,1894.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Pulomanuk,583.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Sawarna,364.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Citarate,204.0,Unknown
Pelagis Besar,Marlin,2019,1,3066,2019-01-01,29,Cibareno,306.0,Unknown
Demersal,Pari,2019,1,980,2019-01-01,,Unknown,0.0,Unknown
Pelagis Kecil,Peperek,2019,1,11445,2019-01-01,,Unknown,0.0,Unknown
Pelagis Kecil,Selar,2019,1,1820,2019-01-01,,Unknown,0.0,Pukat Cicin Grup
Pelagis Kecil,Selar,2019,1,1820,2019-01-01,,Unknown,0.0,Payang
Demersal,Tambakan,2019,1,875,2019-01-01,,Unknown,0.0,Unknown
Pelagis Kecil,Tembang,2019,1,1225,2019-01-01,,Unknown,0.0,Pukat Cicin Grup
Pelagis Kecil,Tembang,2019,1,1225,2019-01-01,,Unknown,0.0,Payang
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Binuangeun,5563.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Binuangeun,5563.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Binuangeun,5563.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01,40,Tanjungpanto,45.0,Jaring Insang Hanyut (Drift Gillnet)
