nama_ikan,ds,y
Alu Alu/baracuda,2019-01-02,700
Alu Alu/baracuda,2019-01-03,630
Alu Alu/baracuda,2019-01-04,352
Alu Alu/baracuda,2019-01-05,480
Alu Alu/baracuda,2019-01-06,320
Alu Alu/baracuda,2019-01-07,875
Alu Alu/baracuda,2019-01-09,645
Alu Alu/baracuda,2019-01-10,900
Alu Alu/baracuda,2019-01-11,1050
Alu Alu/baracuda,2019-01-12,0
Alu Alu/baracuda,2020-01-01,300
Alu Alu/baracuda,2020-01-02,476
Alu Alu/baracuda,2020-01-03,550
Alu Alu/baracuda,2020-01-04,619
Alu Alu/baracuda,2020-01-05,560
Alu Alu/baracuda,2020-01-06,668
Alu Alu/baracuda,2020-01-07,650
Alu Alu/baracuda,2020-01-08,769
Alu Alu/baracuda,2020-01-09,521
Alu Alu/baracuda,2020-01-10,630
Alu Alu/baracuda,2020-01-11,502
Alu Alu/baracuda,2020-01-12,668
Alu Alu/baracuda,2021-01-01,450
Alu Alu/baracuda,2021-01-02,360
Alu Alu/baracuda,2021-01-03,310
Alu Alu/baracuda,2021-01-04,641
Alu Alu/baracuda,2021-01-05,462
Alu Alu/baracuda,2021-01-06,346
Alu Alu/baracuda,2021-01-07,446
Alu Alu/baracuda,2021-01-08,247
Alu Alu/baracuda,2021-01-09,248
Alu Alu/baracuda,2021-01-10,349
Alu Alu/baracuda,2021-01-11,590
Alu Alu/baracuda,2021-01-12,591
Ayam ayam,2019-01-01,525
Ayam ayam,2019-01-02,700
Ayam ayam,2019-01-03,805
Ayam ayam,2019-01-04,800
Ayam ayam,2019-01-05,768
Ayam ayam,2019-01-06,704
Ayam ayam,2019-01-08,1872
Ayam ayam,2019-01-09,1770
Ayam ayam,2019-01-10,1290
Ayam ayam,2019-01-11,1200
Ayam ayam,2019-01-12,0
Ayam ayam,2020-01-01,360
Ayam ayam,2020-01-02,465
Ayam ayam,2020-01-03,650
Ayam ayam,2020-01-04,420
Ayam ayam,2020-01-05,633
Ayam ayam,2020-01-06,514
Ayam ayam,2020-01-07,489
Ayam ayam,2020-01-08,730
Ayam ayam,2020-01-09,764
Ayam ayam,2020-01-10,620
Ayam ayam,2020-01-11,611
Ayam ayam,2020-01-12,628
Ayam ayam,2021-01-01,950
Ayam ayam,2021-01-02,1125
Ayam ayam,2021-01-03,1000
Ayam ayam,2021-01-05,1000
Ayam ayam,2021-01-06,900
Ayam ayam,2021-01-07,3250
Ayam ayam,2021-01-08,1625
Ayam ayam,2021-01-09,750
Ayam ayam,2021-01-10,775
Ayam ayam,2021-01-11,775
Ayam ayam,2021-01-12,525
Ayam ayam,2022-01-02,3432
Ayam ayam,2022-01-06,8652
Ayam ayam,2022-01-10,1800
Ayam ayam,2022-01-11,6600
Ayam ayam,2022-01-12,1720
Ayam ayam,2024-01-01,3961
Ayam ayam,2024-01-02,3376
Ayam ayam,2024-01-03,4012
Ayam ayam,2024-01-04,1426
Ayam ayam,2024-01-05,3359
Ayam ayam,2024-01-06,1669
Ayam ayam,2024-01-07,2733
Ayam ayam,2024-01-08,3599
Ayam ayam,2024-01-09,3816
Ayam ayam,2024-01-10,7307
Ayam ayam,2024-01-11,5921
Ayam ayam,2024-01-12,5774
Ayam-ayam,2023-01-01,5346
Ayam-ayam,2023-01-02,2496
Ayam-ayam,2023-01-03,2070
Ayam-ayam,2023-01-04,3420
Ayam-ayam,2023-01-05,4674
Ayam-ayam,2023-01-06,61992
Ayam-ayam,2023-01-07,3078
Ayam-ayam,2023-01-08,4374
Ayam-ayam,2023-01-09,49496
Ayam-ayam,2023-01-10,5500
Ayam-ayam,2023-01-11,34749
Bawal Laut,2023-01-01,1125
Bawal Laut,2023-01-02,384
Bawal Laut,2023-01-03,540
Bawal Laut,2023-01-04,180
Bawal Laut,2023-01-05,3444
Bawal Laut,2023-01-06,738
Bawal Laut,2023-01-07,4806
Bawal Laut,2023-01-08,7344
Bawal Laut,2023-01-09,5244
Bawal Laut,2023-01-10,10736
Bawal Laut,2023-01-11,1419
Bawal laut,2019-01-05,1344
Bawal laut,2019-01-06,1984
Bawal laut,2019-01-07,1560
Bawal laut,2019-01-08,870
Bawal laut,2019-01-09,300
Bawal laut,2019-01-10,510
Bawal laut,2019-01-11,0
Bawal laut,2019-01-12,1265
Bawal laut,2020-01-01,1071
Bawal laut,2020-01-02,1051
