jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Pelagis Besar,Alu Alu/baracuda,2019,1,6125,2019-01-01
Pelagis Besar,layaran,2019,1,805,2019-01-01
Pelagis Kecil,Layur,2019,1,26635,2019-01-01
Pelagis Besar,Lemadang,2019,1,12250,2019-01-01
Demersal,Manyung,2019,1,924,2019-01-01
Pelagis Besar,Marlin,2019,1,3066,2019-01-01
Demersal,Pari,2019,1,980,2019-01-01
Pelagis Kecil,Peperek,2019,1,11445,2019-01-01
Pelagis Kecil,Selar,2019,1,1820,2019-01-01
Demersal,Tambakan,2019,1,875,2019-01-01
Pelagis Kecil,Tembang,2019,1,1225,2019-01-01
Pelagis Besar,Tenggiri,2019,1,4900,2019-01-01
Pelagis Kecil,Tetengkek,2019,1,420,2019-01-01
Pelagis Besar,Tongkol,2019,1,50680,2019-01-01
Pelagis Besar,Tuna Sirip Kuning,2019,1,70210,2019-01-01
Pelagis Besar,Tuna Mata Besar,2019,1,7000,2019-01-01
Pelagis Kecil,Teri,2019,1,0,2019-01-01
jumlah,,2019,1,421799,2019-01-01
Pelagis Kecil,Layang,2019,1,20650,2019-01-01
Pelagis Kecil,Laosan,2019,1,12600,2019-01-01
Pelagis Besar,Swanggi,2019,1,210,2019-01-01
Demersal,Kuniran/biji nangka,2019,1,1750,2019-01-01
Demersal,Kurisi,2019,1,1855,2019-01-01
Karang (Reef-Associated),Ayam ayam,2019,1,525,2019-01-01
Pelagis Besar,Bawal laut,2019,1,21525,2019-01-01
Pelagis Kecil,Bentong,2019,1,1820,2019-01-01
Pelagis Besar,Cakalang,2019,1,102375,2019-01-01
Demersal,Cucut,2019,1,1225,2019-01-01
Demersal,Golok golok,2019,1,658,2019-01-01
Demersal,Gulamah/Tigawaja/Samgeh,2019,1,6195,2019-01-01
Pelagis Besar,ikan pedang,2019,1,1575,2019-01-01
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,1,45465,2019-01-01
Karang (Reef-Associated),kuwe,2019,1,6615,2019-01-01
Pelagis Kecil,Japuh,2019,1,1050,2019-01-01
Karang (Reef-Associated),Jenaha,2019,1,630,2019-01-01
Karang (Reef-Associated),Kakap Merah,2019,1,21070,2019-01-01
Pelagis Kecil,Kapas kapas,2019,1,14105,2019-01-01
Pelagis Kecil,Kembung,2019,1,17745,2019-01-01
Karang (Reef-Associated),Kerapu,2019,1,560,2019-01-01
Demersal,Ikan sebelah,2019,1,385,2019-01-01
Pelagis Kecil,Peperek,2019,2,3045,2019-01-02
Demersal,Pari,2019,2,1120,2019-01-02
Pelagis Besar,Marlin,2019,2,735,2019-01-02
Pelagis Besar,layaran,2019,2,4200,2019-01-02
Pelagis Besar,Lemadang,2019,2,12460,2019-01-02
